시도,평균,1인당 지역내총생산,사업체수,종사자수,국민기초생활보장 수급자비율,영세자영업자
서울특별시 종로구,1,1,1,1,0.7564,0.9037
서울특별시 중구,0.9806,1,1,1,0.6718,0.9177
서울특별시 용산구,0.6915,0.6334,0.5493,0.7282,0.791,0.8341
서울특별시 성동구,0.6533,0.5132,0.5368,0.6849,0.8243,0.8377
서울특별시 광진구,0.4445,0.2906,0.3424,0.387,0.8681,0.748
서울특별시 동대문구,0.477,0.33,0.5651,0.474,0.6507,0.7347
서울특별시 중랑구,0.248,0.2199,0.3396,0.2525,0.5419,0.5665
서울특별시 성북구,0.2732,0.2374,0.2213,0.2448,0.74,0.5686
서울특별시 강북구,0.1313,0.2096,0.2527,0.2163,0.3006,0.516
서울특별시 도봉구,0.2104,0.2045,0.2154,0.1983,0.7167,0.4483
서울특별시 노원구,0.1496,0.2158,0.1784,0.2068,0.3681,0.5929
서울특별시 은평구,0.1538,0.2036,0.1955,0.1751,0.5697,0.4329
서울특별시 서대문구,0.4415,0.3712,0.2943,0.3948,0.8243,0.7408
서울특별시 마포구,0.7569,0.6126,0.6073,0.8202,0.8801,0.8543
서울특별시 양천구,0.3355,0.2476,0.2301,0.2561,0.8525,0.6529
서울특별시 강서구,0.3788,0.3052,0.272,0.4467,0.5823,0.7907
서울특별시 구로구,0.6418,0.4318,0.5753,0.6438,0.8749,0.8291
서울특별시 금천구,0.8277,0.8275,0.8849,0.9824,0.4501,0.8873
서울특별시 영등포구,0.9332,0.9022,0.7777,0.9848,0.8612,0.8908
서울특별시 동작구,0.3594,0.2508,0.1951,0.2869,0.8851,0.7081
서울특별시 관악구,0.2858,0.2276,0.2089,0.2256,0.7965,0.5993
서울특별시 서초구,0.921,0.8448,0.6785,0.9856,0.9623,0.9012
서울특별시 강남구,0.9933,0.9887,0.8615,0.999,0.8801,0.9063
서울특별시 송파구,0.6091,0.4923,0.3534,0.6088,0.9398,0.8415
서울특별시 강동구,0.4233,0.2907,0.3392,0.3664,0.8495,0.7133
부산광역시 중구,0.7565,0.8213,1,1,0.0593,0.8922
부산광역시 서구,0.2933,0.3256,0.5044,0.4637,0.0382,0.7535
부산광역시 동구,0.6842,0.7434,0.9571,0.9474,0.0024,0.8592
부산광역시 영도구,0.2217,0.2756,0.3987,0.403,0.0062,0.7408
부산광역시 부산진구,0.4598,0.3404,0.545,0.5459,0.4755,0.7852
부산광역시 동래구,0.3831,0.2426,0.3973,0.3488,0.721,0.7028
부산광역시 남구,0.3297,0.3327,0.2552,0.312,0.6483,0.6697
부산광역시 북구,0.0844,0.203,0.1949,0.1891,0.2014,0.5357
부산광역시 해운대구,0.336,0.2768,0.3208,0.3601,0.5393,0.7437
부산광역시 사하구,0.2831,0.3061,0.3223,0.3595,0.3302,0.7302
부산광역시 금정구,0.3769,0.3105,0.3848,0.4337,0.4883,0.7725
부산광역시 강서구,0.9899,0.9952,0.9069,0.9862,0.851,0.884
부산광역시 연제구,0.4785,0.4366,0.4515,0.5259,0.5393,0.8066
부산광역시 수영구,0.3607,0.2672,0.3943,0.3431,0.6291,0.6972
부산광역시 사상구,0.541,0.4175,0.8291,0.6792,0.2314,0.8307
부산광역시 기장군,0.4298,0.4871,0.3182,0.4491,0.5697,0.7586
대구광역시 중구,0.781,0.7571,1,0.9987,0.2256,0.8808
대구광역시 동구,0.2675,0.2815,0.3838,0.3446,0.3164,0.665
대구광역시 서구,0.3363,0.2947,0.6453,0.4724,0.1236,0.706
대구광역시 남구,0.2459,0.2632,0.5591,0.3939,0.0168,0.6795
대구광역시 북구,0.4411,0.3281,0.5652,0.4297,0.5898,0.7111
대구광역시 수성구,0.2827,0.2799,0.2865,0.3139,0.4602,0.7063
대구광역시 달서구,0.3487,0.3152,0.3905,0.4003,0.4602,0.721
대구광역시 달성군,0.4486,0.4769,0.3616,0.4668,0.5748,0.7712
인천광역시 중구,0.8391,0.9963,0.7197,0.9195,0.5748,0.8636
인천광역시 동구,0.582,0.5856,0.7476,0.6069,0.3876,0.8096
인천광역시 연수구,0.4015,0.4026,0.2298,0.3425,0.7274,0.7772
인천광역시 남동구,0.4603,0.4389,0.3846,0.5087,0.5571,0.8044
인천광역시 부평구,0.2607,0.2952,0.2641,0.3095,0.4048,0.6929
인천광역시 계양구,0.2846,0.2377,0.2344,0.2591,0.7274,0.5948
인천광역시 서구,0.4769,0.5552,0.2872,0.3847,0.7683,0.7588
인천광역시 미추홀구,0.3265,0.2603,0.3172,0.2997,0.653,0.676
인천광역시 강화군,0.1021,0.2805,0.4496,0.287,0.2961,0.0754
인천광역시 옹진군,0.3745,0.3288,0.5217,0.3395,0.7836,0.4077
광주광역시 동구,0.586,0.4358,0.979,0.8879,0.0134,0.8354
광주광역시 서구,0.4646,0.4269,0.5154,0.5914,0.3609,0.8148
광주광역시 남구,0.1891,0.2464,0.2831,0.2853,0.2744,0.6166
광주광역시 북구,0.2865,0.2946,0.406,0.4213,0.2068,0.7318
광주광역시 광산구,0.4107,0.4241,0.3578,0.4471,0.5164,0.7676
대전광역시 동구,0.2084,0.2648,0.4457,0.3342,0.0876,0.6436
대전광역시 중구,0.3407,0.2897,0.4706,0.4365,0.3372,0.7239
대전광역시 서구,0.4407,0.3072,0.3706,0.4351,0.7359,0.7737
대전광역시 유성구,0.5779,0.4979,0.3175,0.5509,0.9163,0.8396
대전광역시 대덕구,0.5136,0.582,0.6101,0.6086,0.3028,0.7846
울산광역시 중구,0.3613,0.289,0.3348,0.2349,0.8876,0.5867
울산광역시 남구,0.7907,0.8982,0.5595,0.6619,0.9398,0.8379
울산광역시 동구,0.6519,0.7917,0.2091,0.5678,0.9478,0.8756
울산광역시 북구,0.7063,0.9251,0.2473,0.6093,0.9457,0.8626
울산광역시 울주군,0.7027,0.918,0.3881,0.5942,0.8993,0.7773
세종특별자치시 세종시,0.5119,0.5882,0.1846,0.3966,0.9133,0.7992
경기도 수원시,0.4787,0.3855,0.2641,0.3905,0.9309,0.7896
경기도 성남시,0.5456,0.4312,0.3188,0.5608,0.8583,0.8356
경기도 의정부시,0.3016,0.2929,0.2626,0.2702,0.6363,0.6535
경기도 안양시,0.5658,0.435,0.409,0.5044,0.9248,0.8049
경기도 부천시,0.4546,0.3285,0.3571,0.3771,0.8722,0.738
경기도 광명시,0.3779,0.325,0.2459,0.284,0.8762,0.6626
경기도 평택시,0.605,0.682,0.3706,0.534,0.845,0.7893
경기도 동두천시,0.2125,0.2912,0.3142,0.3034,0.2161,0.6661
경기도 안산시,0.551,0.5226,0.4334,0.5717,0.6946,0.8018
경기도 고양시,0.4146,0.3119,0.2983,0.3247,0.8813,0.7112
경기도 과천시,0.6877,0.6694,0.291,0.7583,0.9421,0.8614
경기도 구리시,0.4192,0.3324,0.3602,0.3474,0.7836,0.7204
경기도 남양주시,0.3032,0.2515,0.2314,0.2361,0.8826,0.5197
경기도 오산시,0.4448,0.3963,0.2493,0.3179,0.9091,0.7646
경기도 시흥시,0.6114,0.4292,0.5882,0.5644,0.8626,0.8001
경기도 군포시,0.469,0.3499,0.2778,0.4121,0.8876,0.7979
경기도 의왕시,0.4296,0.3296,0.2292,0.3502,0.9471,0.7258
경기도 하남시,0.4264,0.3174,0.2624,0.3087,0.922,0.7595
경기도 용인시,0.4828,0.5122,0.1888,0.3334,0.977,0.7642
경기도 파주시,0.5031,0.5019,0.3086,0.4862,0.776,0.7769
경기도 이천시,0.6725,0.7583,0.4086,0.6706,0.8583,0.7711
경기도 안성시,0.5597,0.573,0.4354,0.6268,0.6991,0.7217
경기도 김포시,0.509,0.3682,0.3827,0.4487,0.9027,0.769
경기도 화성시,0.8189,0.9186,0.4856,0.7777,0.9567,0.8615
경기도 광주시,0.5155,0.363,0.4151,0.441,0.9301,0.7458
경기도 양주시,0.4818,0.3936,0.444,0.4604,0.7421,0.7318
경기도 포천시,0.626,0.4889,0.7818,0.7476,0.5087,0.7705
경기도 여주시,0.3567,0.4078,0.4213,0.4264,0.5317,0.5291
경기도 연천군,0.1592,0.3666,0.4501,0.3365,0.1673,0.2761
경기도 가평군,0.3195,0.3875,0.6625,0.4822,0.111,0.5377
경기도 양평군,0.2334,0.301,0.3352,0.2465,0.6787,0.3056
강원도 춘천시,0.3543,0.3638,0.442,0.4371,0.3561,0.7086
강원도 원주시,0.4601,0.3687,0.4964,0.4967,0.6071,0.724
강원도 강릉시,0.4155,0.359,0.598,0.4739,0.445,0.6546
강원도 동해시,0.417,0.4242,0.5029,0.3992,0.496,0.7136
강원도 태백시,0.4605,0.3326,0.6381,0.4924,0.4551,0.7763
강원도 속초시,0.3419,0.3212,0.677,0.441,0.1197,0.7035
강원도 삼척시,0.405,0.4823,0.6092,0.5042,0.2744,0.622
강원도 홍천군,0.3694,0.4812,0.5225,0.4236,0.6878,0.2475
강원도 횡성군,0.3292,0.4891,0.4847,0.4283,0.5997,0.2141
강원도 영월군,0.402,0.4786,0.5807,0.4737,0.5672,0.3813
강원도 평창군,0.481,0.5652,0.6759,0.5112,0.6695,0.3474
강원도 정선군,0.5146,0.5037,0.6606,0.6153,0.547,0.565
강원도 철원군,0.2248,0.4886,0.4366,0.2853,0.4628,0.1626
강원도 화천군,0.3429,0.6496,0.4698,0.346,0.4679,0.3329
강원도 양구군,0.2229,0.5263,0.4647,0.329,0.2514,0.2574
