시도,평균,교원 1인당 학생수,보육시설 수,학교 수,사설학원 수
서울특별시 종로구,0.6839,0.8505,0.6248,0.2249,0.8126
서울특별시 중구,0.5013,0.8729,0.4147,0.2294,0.2944
서울특별시 용산구,0.2679,0.6479,0.3804,0.1281,0.1629
서울특별시 성동구,0.2464,0.7661,0.227,0.1308,0.3366
서울특별시 광진구,0.4879,0.9309,0.4263,0.1278,0.4607
서울특별시 동대문구,0.5119,0.982,0.647,0.1325,0.3491
서울특별시 중랑구,0.1537,0.6662,0.5087,0.1139,0.1587
서울특별시 성북구,0.4649,0.9638,0.5675,0.1487,0.3618
서울특별시 강북구,0.1063,0.4979,0.5205,0.1031,0.1587
서울특별시 도봉구,0.4725,0.6128,0.8863,0.1271,0.3182
서울특별시 노원구,0.8054,0.8652,0.9685,0.1785,0.5688
서울특별시 은평구,0.1314,0.5267,0.4263,0.1299,0.3746
서울특별시 서대문구,0.3663,0.9131,0.1848,0.124,0.3941
서울특별시 마포구,0.5487,0.8817,0.2181,0.1088,0.7789
서울특별시 양천구,0.5632,0.568,0.7305,0.137,0.9588
서울특별시 강서구,0.2969,0.5213,0.5558,0.1323,0.4405
서울특별시 구로구,0.3886,0.7491,0.7859,0.1206,0.3618
서울특별시 금천구,0.2392,0.3599,0.8484,0.1253,0.2944
서울특별시 영등포구,0.2797,0.3874,0.5558,0.1333,0.5013
서울특별시 동작구,0.3623,0.9217,0.3149,0.1173,0.4271
서울특별시 관악구,0.1501,0.411,0.658,0.1045,0.2658
서울특별시 서초구,0.503,0.3557,0.0572,0.1037,0.9882
서울특별시 강남구,0.5955,0.5195,0.0851,0.125,1
서울특별시 송파구,0.4632,0.5204,0.2642,0.1214,0.7021
서울특별시 강동구,0.3951,0.487,0.4614,0.1264,0.6471
부산광역시 중구,0.3472,0.3193,0.274,0.1844,0.5621
부산광역시 서구,0.2663,0.3667,0.177,0.1874,0.3122
부산광역시 동구,0.3953,0.3145,0.6021,0.1898,0.2181
부산광역시 영도구,0.4087,0.6913,0.4147,0.2295,0.1547
부산광역시 부산진구,0.5995,0.7389,0.1621,0.1929,0.6596
부산광역시 동래구,0.5999,0.5465,0.1412,0.1845,0.8769
부산광역시 남구,0.619,0.9808,0.227,0.1578,0.4271
부산광역시 북구,0.5832,0.6736,0.4263,0.1812,0.542
부산광역시 해운대구,0.5989,0.6479,0.2546,0.1516,0.6902
부산광역시 사하구,0.7165,0.8767,0.4614,0.1878,0.5487
부산광역시 금정구,0.7324,0.9775,0.236,0.1915,0.7308
부산광역시 강서구,0.2152,0.478,0.0721,0.299,0.5149
부산광역시 연제구,0.5233,0.7877,0.0851,0.1273,0.5621
부산광역시 수영구,0.4581,0.4888,0.1694,0.1379,0.6902
부산광역시 사상구,0.5093,0.9911,0.4614,0.1849,0.2181
부산광역시 기장군,0.5007,0.6128,0.4968,0.2804,0.4271
대구광역시 중구,0.6247,0.426,0.0607,0.2592,1
대구광역시 동구,0.3777,0.3805,0.2011,0.2056,0.3811
대구광역시 서구,0.5229,0.2947,0.8973,0.1844,0.2439
