시도,평균,자살률,1인가구 비율,독거노인가구 비율,사회적기업 수,가족관계 만족도
서울특별시 종로구,0.7425,0.8318,0.0057,0.7593,0.9981,0.5949
서울특별시 중구,0.4608,0.5462,0.0107,0.7254,1,0.2329
서울특별시 용산구,0.4317,0.7288,0.0211,0.7754,0.7194,0.2009
서울특별시 성동구,0.4182,0.7288,0.0791,0.8332,0.6783,0.0937
서울특별시 광진구,0.3519,0.9434,0.0051,0.8541,0.2461,0.2058
서울특별시 동대문구,0.1339,0.6459,0.0155,0.7647,0.1916,0.1147
서울특별시 중랑구,0.2511,0.6059,0.2462,0.7538,0.2771,0.1301
서울특별시 성북구,0.3539,0.7516,0.1311,0.8007,0.3912,0.1845
서울특별시 강북구,0.0893,0.4295,0.28,0.6578,0.1834,0.0747
서울특별시 도봉구,0.5292,0.8072,0.7646,0.737,0.2784,0.092
서울특별시 노원구,0.4966,0.8167,0.7178,0.7254,0.1809,0.1601
서울특별시 은평구,0.5292,0.6459,0.5152,0.7754,0.6847,0.0579
서울특별시 서대문구,0.2809,0.721,0.0426,0.7908,0.3562,0.1739
서울특별시 마포구,0.4891,0.7769,0.0107,0.8501,0.7373,0.2081
서울특별시 양천구,0.6415,0.8748,0.8489,0.8243,0.2008,0.1992
서울특별시 강서구,0.257,0.7804,0.1696,0.8151,0.2023,0.0597
서울특별시 구로구,0.4795,0.7663,0.3458,0.8151,0.4231,0.2099
서울특별시 금천구,0.3858,0.5693,0.039,0.7647,0.8496,0.1131
서울특별시 영등포구,0.4053,0.6459,0.0282,0.8104,0.7881,0.1097
서울특별시 동작구,0.224,0.7804,0.0269,0.8375,0.2085,0.0949
서울특별시 관악구,0.1551,0.5601,0,0.8501,0.2591,0.1137
서울특별시 서초구,0.4501,0.9169,0.3382,0.8905,0.2427,0.1014
서울특별시 강남구,0.3016,0.8039,0.1103,0.8732,0.2844,0.0619
서울특별시 송파구,0.4959,0.8724,0.3927,0.8804,0.2274,0.2266
서울특별시 강동구,0.4123,0.7479,0.4657,0.8287,0.1829,0.1738
부산광역시 중구,0.2166,0.4854,0.0191,0.3515,0.9715,0.1031
부산광역시 서구,0.1042,0.4807,0.273,0.3979,0.1791,0.3304
부산광역시 동구,0.1553,0.6503,0.3158,0.3011,0.3924,0.124
부산광역시 영도구,0.0094,0.1888,0.5317,0.3322,0.1706,0.211
부산광역시 부산진구,0.127,0.384,0.1645,0.6449,0.3286,0.1939
부산광역시 동래구,0.4833,0.8039,0.7451,0.7077,0.2071,0.1052
부산광역시 남구,0.2272,0.5462,0.4657,0.6955,0.1778,0.0707
부산광역시 북구,0.4301,0.6149,0.7833,0.6642,0.1717,0.2075
부산광역시 해운대구,0.3783,0.5135,0.7178,0.6955,0.2036,0.1873
부산광역시 사하구,0.3788,0.7804,0.5317,0.6832,0.1995,0.124
부산광역시 금정구,0.4859,0.8289,0.1914,0.6642,0.5735,0.3173
부산광역시 강서구,0.522,0.8623,0.5968,0.846,0.2198,0.1369
부산광역시 연제구,0.4122,0.7553,0.5481,0.7016,0.2516,0.1423
부산광역시 수영구,0.1557,0.5693,0.2271,0.6769,0.2912,0.02
부산광역시 사상구,0.1217,0.1423,0.3458,0.6832,0.3813,0.1506
부산광역시 기장군,0.5078,0.676,0.6965,0.7254,0.2624,0.2674
대구광역시 중구,0.4463,0.721,0.034,0.5847,0.9845,0.1564
대구광역시 동구,0.2631,0.5693,0.5726,0.6251,0.2699,0.0047
대구광역시 서구,,0.1795,0.4329,0.5503,0.2388,0.0102
대구광역시 남구,0.2008,0.5135,0.0296,0.5294,0.6936,0.1265
대구광역시 북구,0.4278,0.8167,0.4087,0.7857,0.2568,0.1683
대구광역시 수성구,0.6297,0.9287,0.8339,0.7538,0.1815,0.2217
대구광역시 달서구,0.3674,0.676,0.5235,0.7754,0.232,0.0848
대구광역시 달성군,0.5173,0.8135,0.6892,0.8287,0.1446,0.1745
인천광역시 중구,0.3831,0.5786,0.0551,0.7647,0.5685,0.3622
인천광역시 동구,0.8203,0.8198,0.818,0.5225,0.9843,0.2316
인천광역시 연수구,0.5808,0.794,0.6965,0.8838,0.2733,0.155
인천광역시 남동구,0.4516,0.6327,0.5645,0.8243,0.3805,0.0912
인천광역시 부평구,0.4549,0.6589,0.6669,0.7908,0.2357,0.1487
인천광역시 계양구,0.6808,0.7249,0.7108,0.8375,0.4681,0.3007
