시도,평균,여가활용 만족도,노인여가복지시설 수,도서관 수,문화기반시설 수,체육관련 여가시설 수
서울특별시 종로구,0.6331,0.8409,0.1573,0.4523,0.9997,0.5559
서울특별시 중구,0.6691,0.6224,0.1467,0.5369,0.8441,0.9886
서울특별시 용산구,0.2817,0.6381,0.1628,0.2453,0.3715,0.2934
서울특별시 성동구,0.3257,0.5657,0.1859,0.359,0.2768,0.4859
서울특별시 광진구,0.3313,0.674,0.1443,0.2333,0.2058,0.6365
서울특별시 동대문구,0.2329,0.5115,0.1522,0.1821,0.2163,0.4694
서울특별시 중랑구,0.1831,0.5393,0.1413,0.2471,0.1607,0.2594
서울특별시 성북구,0.267,0.6416,0.1529,0.3709,0.2655,0.2261
서울특별시 강북구,0.2337,0.362,0.1386,0.4622,0.2449,0.3264
서울특별시 도봉구,0.3076,0.8769,0.1501,0.364,0.2376,0.1778
서울특별시 노원구,0.1548,0.5926,0.167,0.1253,0.2118,0.1467
서울특별시 은평구,0.2498,0.67,0.1443,0.3784,0.2042,0.1967
서울특별시 서대문구,0.2175,0.6592,0.1485,0.1611,0.2611,0.2446
서울특별시 마포구,0.2337,0.6999,0.1697,0.2489,0.2459,0.1697
서울특별시 양천구,0.2737,0.7301,0.1621,0.2338,0.1871,0.3687
서울특별시 강서구,0.1998,0.4783,0.1586,0.3029,0.1998,0.2697
서울특별시 구로구,0.3594,0.7789,0.1694,0.4552,0.2431,0.3508
서울특별시 금천구,0.2391,0.5515,0.1422,0.1996,0.2067,0.4541
서울특별시 영등포구,0.371,0.6281,0.1748,0.2835,0.2205,0.7333
서울특별시 동작구,0.2002,0.5707,0.1501,0.2618,0.1829,0.2452
서울특별시 관악구,0.2037,0.7094,0.1352,0.2391,0.1955,0.1444
서울특별시 서초구,0.2724,0.5054,0.1522,0.229,0.2501,0.54
서울특별시 강남구,0.3043,0.2732,0.1554,0.1827,0.2933,0.8896
서울특별시 송파구,0.192,0.6493,0.1413,0.2421,0.2215,0.1263
서울특별시 강동구,0.2317,0.5836,0.1422,0.2197,0.1986,0.3826
부산광역시 중구,0.4288,0.1418,0.1631,0.521,0.6557,0.7717
부산광역시 서구,0.1076,0.0908,0.1647,0.4244,0.275,0.1147
부산광역시 동구,0.1358,0.0241,0.1817,0.4174,0.2735,0.2769
부산광역시 영도구,0.1243,0.0755,0.1605,0.3423,0.3182,0.2346
부산광역시 부산진구,0.1193,0.1418,0.1902,0.1947,0.2026,0.3833
부산광역시 동래구,0.0655,0.0971,0.1717,0.2792,0.2199,0.1465
부산광역시 남구,0.0871,0.1418,0.1789,0.2478,0.2431,0.1822
부산광역시 북구,,0.0369,0.1707,0.117,0.2202,0.1281
부산광역시 해운대구,0.1267,0.1817,0.1859,0.352,0.2029,0.2173
부산광역시 사하구,0.0909,0.0483,0.1727,0.3958,0.1838,0.2075
부산광역시 금정구,0.0904,0.0971,0.1644,0.2378,0.2302,0.2766
부산광역시 강서구,0.2904,0.0737,0.3881,0.3605,0.207,0.7139
부산광역시 연제구,0.0238,0.072,0.1737,0.1142,0.1877,0.2131
부산광역시 수영구,0.0404,0.1282,0.1573,0.1506,0.18,0.2059
부산광역시 사상구,0.0517,0.0331,0.1799,0.1234,0.1824,0.3446
부산광역시 기장군,0.5211,0.1107,0.4229,0.9715,0.2673,0.8208
대구광역시 중구,0.598,0.6446,0.1751,0.9682,0.6703,0.4186
대구광역시 동구,0.0965,0.2094,0.172,0.2555,0.2166,0.1752
대구광역시 서구,0.1395,0.4479,0.151,0.2132,0.2083,0.1668
대구광역시 남구,0.0817,0.4036,0.1428,0.1089,0.2089,0.11
대구광역시 북구,0.2337,0.6586,0.2022,0.2534,0.2196,0.2004
대구광역시 수성구,0.2263,0.6018,0.1855,0.1485,0.2199,0.3512
대구광역시 달서구,0.2009,0.5328,0.1761,0.1834,0.1922,0.329
