시도,집값
서울특별시 종로구,12061
서울특별시 중구,12878
서울특별시 용산구,16915
서울특별시 성동구,16705
서울특별시 광진구,14724
서울특별시 동대문구,11313
서울특별시 중랑구,8900
서울특별시 성북구,10535
서울특별시 강북구,9080
서울특별시 도봉구,9519
서울특별시 노원구,10894
서울특별시 은평구,10163
서울특별시 서대문구,11678
서울특별시 마포구,14565
서울특별시 양천구,14560
서울특별시 강서구,11422
서울특별시 구로구,8866
서울특별시 금천구,8962
서울특별시 영등포구,13630
서울특별시 동작구,12920
서울특별시 관악구,9982
서울특별시 서초구,20569
서울특별시 강남구,23123
서울특별시 송파구,18498
서울특별시 강동구,12914
부산광역시 중구,2653
부산광역시 서구,4019
부산광역시 동구,3888
부산광역시 영도구,3032
부산광역시 부산진구,4536
부산광역시 동래구,5942
부산광역시 남구,5821
부산광역시 북구,4158
부산광역시 해운대구,7659
부산광역시 사하구,3099
부산광역시 금정구,5189
부산광역시 강서구,5771
부산광역시 연제구,6024
부산광역시 수영구,8313
부산광역시 사상구,3119
부산광역시 기장군,4129
대구광역시 중구,6347
대구광역시 동구,3989
대구광역시 서구,4402
대구광역시 남구,4151
대구광역시 북구,3887
대구광역시 수성구,7291
대구광역시 달서구,4727
대구광역시 달성군,3869
인천광역시 중구,4463
인천광역시 동구,3282
인천광역시 연수구,7585
인천광역시 남동구,5197
인천광역시 부평구,5460
인천광역시 계양구,4453
인천광역시 서구,5333
인천광역시 미추홀구,4064
인천광역시 강화군,1780
인천광역시 옹진군,1780
광주광역시 동구,4128
광주광역시 서구,3631
광주광역시 남구,3963
광주광역시 북구,2853
광주광역시 광산구,3572
대전광역시 동구,3668
대전광역시 중구,4357
대전광역시 서구,5211
대전광역시 유성구,5898
대전광역시 대덕구,3243
울산광역시 중구,4238
울산광역시 남구,5114
울산광역시 동구,2942
울산광역시 북구,3657
울산광역시 울주군,3199
세종특별자치시 세종시,8788
경기도 수원시,7678
경기도 성남시,13666
경기도 의정부시,5329
경기도 안양시,9333
경기도 부천시,7004
경기도 광명시,11403
경기도 평택시,4056
경기도 동두천시,2999
경기도 안산시,6417
경기도 고양시,7001
경기도 과천시,20281
경기도 구리시,9071
경기도 남양주시,6365
경기도 오산시,5047
경기도 시흥시,5966
경기도 군포시,7628
경기도 의왕시,9510
경기도 하남시,12503
경기도 용인시,7584
경기도 파주시,4635
경기도 이천시,3094
경기도 안성시,2863
경기도 김포시,6181
경기도 화성시,7398
경기도 광주시,5787
경기도 양주시,4118
경기도 포천시,2378
경기도 여주시,2293
경기도 연천군,1600
경기도 가평군,2040
경기도 양평군,2820
강원도 춘천시,2805
강원도 원주시,2581
강원도 강릉시,2687
강원도 동해시,1568
강원도 태백시,1455
강원도 속초시,2795
강원도 삼척시,1469
강원도 홍천군,1710
강원도 횡성군,1260
강원도 영월군,1230
강원도 평창군,1340
강원도 정선군,1380
강원도 철원군,1120
강원도 화천군,1120
강원도 양구군,1440
강원도 인제군,1090
강원도 고성군,1500
강원도 양양군,1760
충청북도 충주시,2474
충청북도 제천시,2038
충청북도 청주시,3032
충청북도 보은군,970
충청북도 옥천군,1610
충청북도 영동군,1230
충청북도 진천군,2060
충청북도 괴산군,1980
충청북도 음성군,2053
충청북도 단양군,1420
충청북도 증평군,1360
충청남도 천안시,3316
충청남도 공주시,2544
충청남도 보령시,2132
충청남도 아산시,2717
충청남도 서산시,2188
충청남도 논산시,2083
충청남도 계룡시,2626
충청남도 당진시,2069
충청남도 금산군,1700
충청남도 부여군,1430
충청남도 서천군,1390
충청남도 청양군,1010
충청남도 홍성군,2706
충청남도 예산군,1742
충청남도 태안군,1480
전라북도 전주시,2817
전라북도 군산시,2025
전라북도 익산시,2243
전라북도 정읍시,1808
전라북도 남원시,1823
전라북도 김제시,1682
전라북도 완주군,1510
전라북도 진안군,1560
전라북도 무주군,1470
전라북도 장수군,1560
전라북도 임실군,1930
전라북도 순창군,1560
전라북도 고창군,1430
전라북도 부안군,1460
전라남도 목포시,1845
전라남도 여수시,3005
전라남도 순천시,2952
전라남도 나주시,2638
전라남도 광양시,1590
전라남도 담양군,2120
전라남도 곡성군,1370
전라남도 구례군,1476
전라남도 고흥군,1180
전라남도 보성군,1320
전라남도 화순군,1530
전라남도 장흥군,1540
전라남도 강진군,1380
전라남도 해남군,1300
전라남도 영암군,770
전라남도 무안군,2478
전라남도 함평군,1600
전라남도 영광군,1350
전라남도 장성군,1320
전라남도 완도군,1570
전라남도 진도군,1310
전라남도 신안군,1476
경상북도 포항시,2405
경상북도 경주시,2112
경상북도 김천시,2222
경상북도 안동시,2035
경상북도 구미시,2303
경상북도 영주시,1675
경상북도 영천시,1420
경상북도 상주시,1809
경상북도 문경시,2028
경상북도 경산시,2697
경상북도 군위군,1476
경상북도 의성군,1370
경상북도 청송군,1576
경상북도 영양군,1576
경상북도 영덕군,2200
경상북도 청도군,1230
경상북도 고령군,1390
경상북도 성주군,1580
경상북도 칠곡군,1560
경상북도 예천군,2540
경상북도 봉화군,1230
경상북도 울진군,1180
경상북도 울릉군,600
경상남도 진주시,2911
경상남도 통영시,2261
경상남도 사천시,1579
경상남도 김해시,2917
경상남도 밀양시,1997
경상남도 거제시,2189
경상남도 양산시,3079
경상남도 창원시,3507
경상남도 의령군,920
경상남도 함안군,1470
경상남도 창녕군,1240
경상남도 고성군,1500
경상남도 남해군,1100
경상남도 하동군,960
경상남도 산청군,1600
경상남도 함양군,1930
경상남도 거창군,1980
경상남도 합천군,1130
제주특별자치도 제주시,4831
제주특별자치도 서귀포시,3635
