시도,안전,건강,환경,경제,교육,사회,여가,집값,행복역량지수,군집,아파트매매가
서울특별시 종로구,0.747 ,0.922 ,0.464 ,1.000 ,0.684 ,0.743 ,0.633 ,0.509 ,0.807 ,7,12061
서울특별시 중구,0.932 ,0.674 ,0.287 ,0.981 ,0.501 ,0.461 ,0.669 ,0.545 ,0.694 ,5,12878
서울특별시 용산구,0.554 ,0.590 ,0.503 ,0.692 ,0.268 ,0.432 ,0.282 ,0.724 ,0.531 ,7,16915
서울특별시 성동구,0.535 ,0.479 ,0.420 ,0.653 ,0.246 ,0.418 ,0.326 ,0.715 ,0.475 ,7,16705
서울특별시 광진구,0.607 ,0.637 ,0.499 ,0.445 ,0.488 ,0.352 ,0.331 ,0.627 ,0.532 ,7,14724
서울특별시 동대문구,0.648 ,0.602 ,0.308 ,0.477 ,0.512 ,0.134 ,0.233 ,0.476 ,0.492 ,7,11313
서울특별시 중랑구,0.542 ,0.523 ,0.552 ,0.248 ,0.154 ,0.251 ,0.183 ,0.369 ,0.406 ,2,8900
서울특별시 성북구,0.463 ,0.418 ,0.499 ,0.273 ,0.465 ,0.354 ,0.267 ,0.441 ,0.400 ,2,10535
서울특별시 강북구,0.612 ,0.399 ,0.681 ,0.131 ,0.106 ,0.089 ,0.234 ,0.377 ,0.354 ,4,9080
서울특별시 도봉구,0.468 ,0.468 ,0.555 ,0.210 ,0.473 ,0.529 ,0.308 ,0.396 ,0.430 ,2,9519
서울특별시 노원구,0.324 ,0.478 ,0.647 ,0.150 ,0.805 ,0.497 ,0.155 ,0.457 ,0.431 ,3,10894
서울특별시 은평구,0.477 ,0.393 ,0.473 ,0.154 ,0.131 ,0.529 ,0.250 ,0.425 ,0.351 ,2,10163
서울특별시 서대문구,0.622 ,0.844 ,0.422 ,0.442 ,0.366 ,0.281 ,0.218 ,0.492 ,0.572 ,7,11678
서울특별시 마포구,0.503 ,0.541 ,0.397 ,0.757 ,0.549 ,0.489 ,0.234 ,0.620 ,0.536 ,7,14565
서울특별시 양천구,0.537 ,0.607 ,0.485 ,0.336 ,0.563 ,0.642 ,0.274 ,0.620 ,0.518 ,3,14560
서울특별시 강서구,0.468 ,0.331 ,0.582 ,0.379 ,0.297 ,0.257 ,0.200 ,0.480 ,0.369 ,2,11422
서울특별시 구로구,0.503 ,0.600 ,0.441 ,0.642 ,0.389 ,0.480 ,0.359 ,0.367 ,0.532 ,7,8866
서울특별시 금천구,0.362 ,0.491 ,0.409 ,0.828 ,0.239 ,0.386 ,0.239 ,0.371 ,0.471 ,7,8962
서울특별시 영등포구,0.674 ,0.731 ,0.321 ,0.933 ,0.280 ,0.405 ,0.371 ,0.579 ,0.625 ,7,13630
서울특별시 동작구,0.524 ,0.336 ,0.487 ,0.359 ,0.362 ,0.224 ,0.200 ,0.547 ,0.371 ,2,12920
서울특별시 관악구,0.645 ,0.507 ,0.425 ,0.286 ,0.150 ,0.155 ,0.204 ,0.417 ,0.403 ,2,9982
서울특별시 서초구,0.423 ,0.676 ,0.508 ,0.921 ,0.503 ,0.450 ,0.272 ,0.887 ,0.602 ,7,20569
서울특별시 강남구,0.697 ,0.617 ,0.416 ,0.993 ,0.596 ,0.302 ,0.304 ,1.000 ,0.628 ,7,23123
서울특별시 송파구,0.456 ,0.660 ,0.512 ,0.609 ,0.463 ,0.496 ,0.192 ,0.795 ,0.545 ,7,18498
서울특별시 강동구,0.486 ,0.715 ,0.478 ,0.423 ,0.395 ,0.412 ,0.232 ,0.547 ,0.523 ,7,12914
부산광역시 중구,0.637 ,0.827 ,0.197 ,0.757 ,0.347 ,0.217 ,0.429 ,0.091 ,0.604 ,7,2653
부산광역시 서구,0.718 ,0.884 ,0.296 ,0.293 ,0.266 ,0.104 ,0.108 ,0.152 ,0.533 ,2,4019
부산광역시 동구,0.659 ,0.604 ,0.484 ,0.684 ,0.395 ,0.155 ,0.136 ,0.146 ,0.532 ,7,3888
부산광역시 영도구,0.440 ,0.418 ,0.551 ,0.222 ,0.409 ,0.009 ,0.124 ,0.108 ,0.352 ,2,3032
부산광역시 부산진구,0.288 ,0.599 ,0.456 ,0.460 ,0.600 ,0.127 ,0.119 ,0.175 ,0.447 ,2,4536
부산광역시 동래구,0.455 ,0.725 ,0.405 ,0.383 ,0.600 ,0.483 ,0.066 ,0.237 ,0.524 ,2,5942
부산광역시 남구,0.506 ,0.454 ,0.542 ,0.330 ,0.619 ,0.227 ,0.087 ,0.232 ,0.428 ,2,5821
부산광역시 북구,0.325 ,0.434 ,0.592 ,0.084 ,0.583 ,0.430 ,0.000 ,0.158 ,0.364 ,2,4158
부산광역시 해운대구,0.394 ,0.328 ,0.651 ,0.336 ,0.599 ,0.378 ,0.127 ,0.313 ,0.392 ,2,7659
부산광역시 사하구,0.144 ,0.361 ,0.198 ,0.283 ,0.717 ,0.379 ,0.091 ,0.111 ,0.318 ,2,3099
부산광역시 금정구,0.177 ,0.572 ,0.613 ,0.377 ,0.732 ,0.486 ,0.090 ,0.204 ,0.462 ,3,5189
