시도,평균,환경체감도,산업폐수 방류량,녹지지역 비율,미세먼지,생활폐기물배출량
서울특별시 종로구,0.4637,0.4658,0.7223,0.2012,0.7704,0.0006
서울특별시 중구,0.2865,0.1077,0.6957,0.0013,0.6617,0
서울특별시 용산구,0.503,0.3142,0.7185,0.1349,0.6895,0.4571
서울특별시 성동구,0.4196,0.148,0.6868,0.0347,0.3757,0.7426
서울특별시 광진구,0.4992,0.1229,0.694,0.0574,0.7235,0.7016
서울특별시 동대문구,0.3075,0.0245,0.7264,0.0019,0.3868,0.409
서울특별시 중랑구,0.5523,0.1917,0.731,0.1215,0.7614,0.7016
서울특별시 성북구,0.4991,0.151,0.7292,0.036,0.5952,0.7876
서울특별시 강북구,0.6812,0.2646,0.7319,0.283,0.8868,0.8458
서울특별시 도봉구,0.5545,0.2103,0.7324,0.2838,0.4556,0.8339
서울특별시 노원구,0.647,0.2926,0.7293,0.3969,0.6509,0.8083
서울특별시 은평구,0.4726,0.2658,0.7328,0.2003,0.1336,0.8626
서울특별시 서대문구,0.4215,0.1284,0.7289,0.0062,0.4829,0.6488
서울특별시 마포구,0.3967,0.3357,0.7291,0.1248,0.2708,0.4377
서울특별시 양천구,0.4848,0.1431,0.7167,0.0262,0.479,0.8781
서울특별시 강서구,0.5817,0.2205,0.7214,0.3136,0.5723,0.7947
서울특별시 구로구,0.4408,0.0859,0.7167,0.0341,0.4325,0.8016
서울특별시 금천구,0.4086,0.1725,0.7188,0.0238,0.4556,0.5738
서울특별시 영등포구,0.3213,0.1313,0.6725,0.0885,0.0348,0.6756
서울특별시 동작구,0.4874,0.0684,0.718,0.0087,0.6065,0.8515
서울특별시 관악구,0.425,0.1948,0.7266,0.2024,0.0571,0.8277
서울특별시 서초구,0.5075,0.319,0.7191,0.3586,0.6178,0.3174
서울특별시 강남구,0.416,0.1773,0.7217,0.0795,0.6509,0.344
서울특별시 송파구,0.5124,0.2002,0.7225,0.0589,0.6188,0.7504
서울특별시 강동구,0.4779,0.2178,0.6898,0.1723,0.4095,0.7265
부산광역시 중구,0.1966,0.0944,0.7311,0.0045,0.2611,0.0231
부산광역시 서구,0.2964,0.1014,0.6377,0.0401,0.1909,0.5351
부산광역시 동구,0.4844,0.092,0.7313,0.0379,0.8352,0.5448
부산광역시 영도구,0.5508,0.2325,0.7267,0.0085,0.9125,0.6212
부산광역시 부산진구,0.4563,0.1104,0.7243,0.1964,0.479,0.6212
부산광역시 동래구,0.4052,0.1707,0.6851,0.0865,0.2708,0.7183
부산광역시 남구,0.5422,0.1777,0.575,0.0541,0.9028,0.7581
부산광역시 북구,0.5921,0.1376,0.6605,0.6707,0.4928,0.7016
부산광역시 해운대구,0.6508,0.221,0.7232,0.5874,0.7035,0.6578
부산광역시 사하구,0.1976,0.1184,0.3782,0.0574,0.0096,0.5545
부산광역시 금정구,0.6128,0.1872,0.7059,0.7929,0.4095,0.6488
부산광역시 강서구,0.1776,0.096,0.0277,0.3396,0.1678,0.409
부산광역시 연제구,0.443,0.0863,0.7326,0.051,0.5165,0.693
